arterycode,direction,sideofint,centreline_id,artery_type,match_on_case,was_match_on_case
11324,Northbound,S,8491846,2,10,6
11324,Southbound,S,8491846,2,10,6
11324,Eastbound,W,14025230,2,10,6
11324,Westbound,W,14025230,2,10,6
11826,Eastbound,E,437260,2,10,6
11826,Westbound,E,437260,2,10,6
11826,Northbound,N,437237,2,10,6
11826,Southbound,N,437237,2,10,6
11826,Northbound,S,437330,2,10,6
11826,Southbound,S,437330,2,10,6
11826,Eastbound,W,437238,2,10,6
11826,Westbound,W,437238,2,10,6
11897,Northbound,N,1140112,2,10,6
11897,Southbound,N,1140112,2,10,6
11897,Southbound,S,1140655,2,10,6
11897,Eastbound,W,2923714,2,10,6
11897,Westbound,W,2923714,2,10,6
12028,Eastbound,E,1335,2,10,6
12028,Westbound,E,1335,2,10,6
12028,Northbound,N,1325,2,10,6
12028,Southbound,N,1325,2,10,6
12028,Northbound,S,20081426,2,10,6
12028,Southbound,S,20081426,2,10,6
12028,Eastbound,W,1345,2,10,6
12028,Westbound,W,1345,2,10,6
12115,Eastbound,E,1141758,2,10,6
12115,Westbound,E,1141758,2,10,6
12115,Northbound,N,14021124,2,10,6
12115,Southbound,N,14021124,2,10,6
12115,Northbound,S,1141900,2,10,6
12115,Southbound,S,1141900,2,10,6
12115,Eastbound,W,14037715,2,10,6
12115,Westbound,W,14037715,2,10,6
12119,Eastbound,E,14021154,2,10,6
12119,Westbound,E,14021154,2,10,6
12119,Northbound,N,1141672,2,10,6
12119,Southbound,N,1141672,2,10,6
12119,Northbound,S,7950454,2,10,6
12119,Southbound,S,7950454,2,10,6
12119,Eastbound,W,14021106,2,10,6
12119,Westbound,W,14021106,2,10,6
12189,Eastbound,E,1140924,2,10,6
12189,Westbound,E,1140924,2,10,6
12189,Northbound,N,1140925,2,10,6
12189,Southbound,N,1140925,2,10,6
12189,Eastbound,W,1140983,2,10,6
12189,Westbound,W,1140983,2,10,6
12429,Eastbound,E,308,2,10,6
12429,Westbound,E,308,2,10,6
12429,Northbound,N,307,2,10,6
12429,Southbound,N,307,2,10,6
12429,Northbound,S,343,2,10,6
12429,Southbound,S,343,2,10,6
12429,Eastbound,W,343,2,10,6
12429,Westbound,W,343,2,10,6
15148,Eastbound,E,8260485,2,10,6
15148,Westbound,E,8260485,2,10,6
15148,Northbound,N,1143731,2,10,6
15148,Southbound,N,1143731,2,10,6
15148,Northbound,S,9135320,2,10,6
15148,Southbound,S,9135320,2,10,6
15148,Eastbound,W,14013971,2,10,6
15148,Westbound,W,14013971,2,10,6
21008,Eastbound,E,1141537,2,10,6
21008,Westbound,E,1141537,2,10,6
21008,Northbound,N,7950472,2,10,6
21008,Southbound,N,7950472,2,10,6
21008,Northbound,S,1141672,2,10,6
21008,Southbound,S,1141672,2,10,6
21008,Eastbound,W,2981086,2,10,6
21008,Westbound,W,2981086,2,10,6
24079,Eastbound,E,8837556,2,10,6
24079,Westbound,E,8837556,2,10,6
24079,Northbound,N,11129868,2,10,6
24079,Southbound,N,11129868,2,10,6
24079,Northbound,S,14067447,2,10,6
