arterycode,direction,sideofint,centreline_id
15148,Westbound,W,14013971
21008,Eastbound,E,1141537
21008,Westbound,E,1141537
21008,Northbound,N,7950472
21008,Southbound,N,7950472
21008,Northbound,S,1141672
21008,Southbound,S,1141672
21008,Eastbound,W,2981086
21008,Westbound,W,2981086
24079,Eastbound,E,8837556
24079,Westbound,E,8837556
24079,Northbound,N,11129868
24079,Southbound,N,11129868
24079,Northbound,S,14067447
24079,Southbound,S,14067447
24079,Eastbound,W,8243
24079,Westbound,W,8243
24187,Eastbound,E,12387603
24187,Westbound,E,12387603
24187,Northbound,N,907361
24187,Southbound,N,907361
24187,Northbound,S,20232408
24187,Southbound,S,20232408
24187,Eastbound,W,20232381
24187,Westbound,W,20232381
25913,Northbound,N,8407197
25913,Southbound,N,8407197
25913,Eastbound,W,908520
25913,Westbound,W,908520
26224,Eastbound,E,3369758
26224,Westbound,E,3369758
26224,Northbound,N,6973860
26224,Southbound,N,6973860
26224,Northbound,S,9392788
26224,Southbound,S,9392788
26360,Eastbound,E,791
26360,Westbound,E,791
26360,Northbound,N,13991148
26360,Southbound,N,13991148
26360,Northbound,S,804
26360,Southbound,S,804
26360,Eastbound,W,8680749
26360,Westbound,W,8680749
28039,Eastbound,E,441245
28039,Westbound,E,441245
28039,Northbound,N,441195
28039,Southbound,N,441195
28039,Northbound,S,441437
28039,Southbound,S,441437
28039,Eastbound,W,441196
28039,Westbound,W,441196
28280,Eastbound,E,1116
28280,Westbound,E,1116
28280,Northbound,N,1117
28280,Southbound,N,1117
28280,Northbound,S,1191
28280,Southbound,S,1191
28280,Eastbound,W,7523481
28280,Westbound,W,7523481
28953,Eastbound,E,1139388
28953,Westbound,E,1139388
28953,Northbound,N,14015981
28953,Southbound,N,14015981
28953,Northbound,S,10494084
28953,Southbound,S,10494084
28953,Eastbound,W,10516533
28953,Westbound,W,10516533
28968,Eastbound,E,103346
28968,Westbound,E,103346
28968,Southbound,N,103347
28968,Northbound,S,30002425
28968,Southbound,S,30002425
28968,Eastbound,W,30002427
28968,Westbound,W,30002427
29515,Eastbound,E,14662276
29515,Westbound,E,14662276
29515,Northbound,S,30008122
29515,Southbound,S,30008122
29515,Eastbound,W,1147347
29515,Westbound,W,1147347
29525,Eastbound,E,14254066
29525,Westbound,E,
29525,Southbound,S,30010586
29525,Eastbound,W,14254065
29525,Westbound,W,
29853,Eastbound,E,9909732
29853,Westbound,E,9909732
29853,Northbound,S,7754192
29853,Southbound,S,7754192
29853,Eastbound,W,1142386
29853,Westbound,W,1142386
30142,Eastbound,E,11034953
30142,Westbound,E,11034953
30142,Northbound,N,1140734
30142,Southbound,N,1140734
30142,Northbound,S,1140858
30142,Southbound,S,1140858
30142,Eastbound,W,30089765
30142,Westbound,W,30089765
31076,Eastbound,E,364
31076,Westbound,E,364
31076,Northbound,N,335
31076,Southbound,N,335
31076,Northbound,S,384
31076,Southbound,S,384
31081,Eastbound,E,30062735
31081,Westbound,E,30062735
31081,Northbound,S,1138891
31081,Southbound,S,1138891
31081,Eastbound,W,1138853
31081,Westbound,W,1138853
31119,Eastbound,E,20232386
31119,Westbound,E,20232386
31119,Northbound,N,907407
31119,Southbound,N,907407
31119,Northbound,S,20232413
31119,Southbound,S,20232413
31119,Eastbound,W,12387603
31119,Westbound,W,12387603
31502,Eastbound,E,6453793
31502,Westbound,E,6453793
31502,Northbound,N,1151
31502,Southbound,N,1151
31502,Northbound,S,1249
31502,Southbound,S,1249
31502,Eastbound,W,1192
31502,Westbound,W,1192
31530,Eastbound,E,20040174
31530,Westbound,E,20040174
31530,Northbound,N,20062075
31530,Southbound,N,20062075
31530,Northbound,S,10340176
31530,Southbound,S,10340176
31530,Eastbound,W,30080481
31530,Westbound,W,30080481
31899,Eastbound,E,30040112
31899,Westbound,E,30040112
31899,Northbound,N,7963589
31899,Southbound,N,7963589
31899,Northbound,S,7963578
31899,Southbound,S,7963578
31899,Eastbound,W,1139760
31899,Westbound,W,1139760
32585,Northbound,N,914520
32585,Southbound,N,914520
32585,Northbound,S,914570
32585,Southbound,S,914570
32861,Eastbound,E,440668
32861,Westbound,E,440668
32861,Northbound,S,440703
32861,Southbound,S,440703
32861,Eastbound,W,30004707
32861,Westbound,W,30004707
33554,Eastbound,E,8947513
33554,Westbound,E,8947513
33554,Northbound,N,1138579
33554,Southbound,N,1138579
33554,Northbound,S,7324285
33554,Southbound,S,7324285
33755,Eastbound,E,14067926
33755,Westbound,E,14067926
33755,Northbound,N,20042497
33755,Southbound,N,20042497
33755,Northbound,S,8145
33755,Southbound,S,8145
33755,Eastbound,W,14068267
33755,Westbound,W,14068267
34793,Northbound,N,
34793,Southbound,N,
34793,Northbound,S,30090495
34793,Southbound,S,30090495
34793,Eastbound,W,
34793,Westbound,W,
35068,Eastbound,E,
35068,Westbound,E,440858
35068,Northbound,N,3306871
35068,Eastbound,W,440930
35068,Westbound,W,440932
35962,Eastbound,E,209
35962,Westbound,E,209
35962,Northbound,N,210
35962,Southbound,N,210
35962,Northbound,S,237
35962,Southbound,S,237
35962,Eastbound,W,212
35962,Westbound,W,212
36205,Eastbound,E,106715
36205,Westbound,E,106715
36205,Northbound,N,106682
36205,Southbound,N,106682
36205,Northbound,S,2216265
36205,Southbound,S,2216265
36205,Eastbound,W,106683
36205,Westbound,W,106683
36482,Eastbound,E,1138928
36482,Westbound,E,1138928
36482,Northbound,N,1138898
36482,Southbound,N,1138898
36482,Northbound,S,1138941
36482,Southbound,S,1138941
36482,Eastbound,W,1138898
36482,Westbound,W,1138898
36908,Eastbound,E,30074730
36908,Westbound,E,30074730
36908,Northbound,N,14675328
36908,Southbound,N,14675328
36908,Northbound,S,30074506
36908,Southbound,S,30074506
36908,Eastbound,W,14675135
36908,Westbound,W,14675135
38016,Eastbound,E,107158
38016,Northbound,N,3633142
38016,Southbound,N,3633142
38016,Northbound,S,107172
38016,Southbound,S,107172
38016,Eastbound,W,
38016,Westbound,W,
