arterycode,direction,sideofint,centreline_id,match_on_case,was_match_on_case
30295,Southbound,N,112937,10,10
30295,Northbound,S,112979,10,10
30295,Southbound,S,112979,10,10
30295,Eastbound,W,112943,10,10
30295,Westbound,W,112943,10,10
30295,Eastbound,E,112936,10,10
30295,Westbound,E,112936,10,10
31501,Eastbound,W,14073965,10,10
31501,Westbound,W,14073965,10,10
31501,Eastbound,E,14073964,10,10
31501,Westbound,E,14073964,10,10
32574,Northbound,N,14022569,10,10
32574,Southbound,N,14022569,10,10
32574,Northbound,S,14171638,10,10
32574,Southbound,S,14171638,10,10
32574,Eastbound,W,14171607,10,10
32574,Westbound,W,14171607,10,10
32574,Eastbound,E,8407995,10,10
32574,Westbound,E,8407995,10,10
32575,Northbound,N,14016751,10,10
32575,Southbound,N,14016751,10,10
32575,Northbound,S,20080665,10,10
32575,Southbound,S,20080665,10,10
32575,Eastbound,W,14064632,10,10
32575,Westbound,W,14064632,10,10
32575,Eastbound,E,14016798,10,10
32575,Westbound,E,14016798,10,10
35205,Northbound,N,30023599,10,10
35205,Southbound,N,30023599,10,10
35205,Northbound,S,30023585,10,10
35205,Southbound,S,30023585,10,10
36477,Northbound,N,8824030,10,10
36477,Southbound,N,8824030,10,10
36477,Northbound,S,7862433,10,10
36477,Southbound,S,7862433,10,10
36477,Eastbound,W,6238151,10,10
36477,Westbound,W,6238151,10,10
36477,Eastbound,E,6195239,10,10
36477,Westbound,E,6195239,10,10
37865,Northbound,N,107624,10,10
37865,Southbound,N,107624,10,10
37865,Northbound,S,107695,10,10
37865,Southbound,S,107695,10,10
37865,Eastbound,W,107682,10,10
37865,Westbound,W,107682,10,10
37865,Eastbound,E,11466889,10,10
37865,Westbound,E,11466889,10,10
37875,Northbound,N,112675,10,10
37875,Southbound,N,112675,10,10
37875,Northbound,S,2312030,10,10
37875,Southbound,S,2312030,10,10
37875,Eastbound,W,112691,10,10
37875,Westbound,W,112691,10,10
37875,Eastbound,E,112674,10,10
37875,Westbound,E,112674,10,10
3926,Eastbound,E,1146011,10,10
3926,Westbound,E,1146011,10,10
3926,Northbound,S,14015865,10,10
3926,Southbound,S,14015865,10,10
3926,Eastbound,W,8265330,10,10
3926,Westbound,W,8265330,10,10
3943,Eastbound,E,14253384,10,10
3943,Westbound,E,14253384,10,10
3943,Northbound,N,8594395,10,10
3943,Southbound,N,8594395,10,10
3943,Northbound,S,654,10,10
3943,Southbound,S,654,10,10
3943,Eastbound,W,20042173,10,10
3943,Westbound,W,20042173,10,10
3950,Eastbound,E,14666456,10,10
3950,Westbound,E,14666456,10,10
3950,Northbound,N,111733,10,10
3950,Southbound,N,111733,10,10
3950,Northbound,S,2016044,10,10
3950,Southbound,S,2016044,10,10
3950,Eastbound,W,111762,10,10
3950,Westbound,W,111762,10,10
3953,Eastbound,E,20112785,10,10
3953,Westbound,E,20112785,10,10
3953,Northbound,N,8100562,10,10
3953,Southbound,N,8100562,10,10
3953,Northbound,S,108335,10,10
3953,Southbound,S,108335,10,10
3953,Eastbound,W,108297,10,10
3953,Westbound,W,108297,10,10
3959,Eastbound,E,10368089,10,10
3959,Westbound,E,10368089,10,10
3959,Northbound,N,440178,10,10
3959,Southbound,N,440178,10,10
3959,Northbound,S,10459275,10,10
3959,Southbound,S,10459275,10,10
3959,Eastbound,W,10459142,10,10
3959,Westbound,W,10459142,10,10
3969,Eastbound,E,907386,10,10
3969,Westbound,E,907386,10,10
3969,Northbound,N,907387,10,10
3969,Southbound,N,907390,10,10
3969,Northbound,S,30001195,10,10
3969,Southbound,S,30001198,10,10
3969,Eastbound,W,20232385,10,10
3969,Westbound,W,20232385,10,10
3974,Eastbound,E,5625788,10,10
3974,Westbound,E,5625788,10,10
3974,Northbound,N,446662,10,10
3974,Southbound,N,446662,10,10
3974,Northbound,S,446666,10,10
3974,Southbound,S,446666,10,10
3974,Eastbound,W,446662,10,10
3974,Westbound,W,446662,10,10
4034,Northbound,N,2215085,10,10
4034,Southbound,N,2215085,10,10
4034,Northbound,S,1143578,10,10
4034,Southbound,S,1143578,10,10
4034,Eastbound,W,14014007,10,10
4034,Westbound,W,14014007,10,10
4197,Westbound,E,6341291,10,10
4197,Southbound,N,6341247,10,10
4197,Westbound,W,1142935,10,10
4243,Westbound,E,2633805,10,10
4243,Northbound,N,8536083,10,10
4243,Southbound,N,8536083,10,10
4243,Northbound,S,7753909,10,10
4243,Southbound,S,7753909,10,10
4243,Westbound,W,20054199,10,10
4342,Eastbound,E,2633805,10,10
4342,Northbound,N,441328,10,10
4342,Southbound,N,441328,10,10
4342,Northbound,S,441373,10,10
4342,Southbound,S,441373,10,10
4342,Eastbound,W,11541970,10,10
4342,Westbound,W,11541970,10,10
4414,Eastbound,E,444763,10,10
4414,Westbound,E,444763,10,10
4414,Northbound,N,8649749,10,10
4414,Southbound,N,8649749,10,10
4414,Northbound,S,444999,10,10
4414,Southbound,S,444999,10,10
4414,Eastbound,W,8609194,10,10
4414,Westbound,W,8609194,10,10
4440,Eastbound,E,14677598,10,10
4440,Westbound,E,14677598,10,10
4440,Northbound,S,906673,10,10
4440,Southbound,S,906673,10,10
4455,Eastbound,E,112953,10,10
4455,Westbound,E,112953,10,10
4455,Northbound,N,112954,10,10
4455,Southbound,N,112954,10,10
4455,Northbound,S,112988,10,10
4455,Southbound,S,112988,10,10
4455,Eastbound,W,112964,10,10
4455,Westbound,W,112964,10,10
4571,Eastbound,E,14254832,10,10
4571,Westbound,E,14254832,10,10
4571,Northbound,N,14254832,10,10
4571,Southbound,N,14254832,10,10
4571,Northbound,S,841,10,10
4571,Southbound,S,841,10,10
4571,Eastbound,W,791,10,10
4571,Westbound,W,791,10,10
4585,Northbound,N,1140207,10,10
4585,Southbound,N,1140207,10,10
4585,Northbound,S,10663886,10,10
4585,Southbound,S,10663886,10,10
4585,Eastbound,W,10636561,10,10
4585,Westbound,W,10636561,10,10
4691,Northbound,N,13971323,10,10
4691,Southbound,N,13971323,10,10
4691,Eastbound,W,13971323,10,10
4691,Westbound,W,13971323,10,10
4721,Eastbound,E,825,10,10
4721,Westbound,E,825,10,10
4721,Northbound,N,821,10,10
4721,Southbound,N,821,10,10
4721,Northbound,S,14072860,10,10
4721,Southbound,S,14072860,10,10
4721,Eastbound,W,820,10,10
4721,Westbound,W,820,10,10
4738,Eastbound,E,9950387,10,10
4738,Westbound,E,9950387,10,10
4738,Northbound,N,9950387,10,10
4738,Southbound,N,9950387,10,10
4786,Eastbound,E,106859,10,10
4786,Westbound,E,106859,10,10
4786,Northbound,N,4940118,10,10
4786,Southbound,N,4940118,10,10
4786,Northbound,S,30001937,10,10
4786,Southbound,S,30001937,10,10
4786,Eastbound,W,106814,10,10
4786,Westbound,W,106814,10,10
4796,Eastbound,E,1140726,10,10
4796,Westbound,E,1140726,10,10
4796,Northbound,N,7992364,10,10
4796,Southbound,N,7992364,10,10
4796,Northbound,S,1140925,10,10
4796,Southbound,S,1140925,10,10
4796,Eastbound,W,1140728,10,10
4796,Westbound,W,1140728,10,10
4810,Eastbound,E,7348642,10,10
4810,Westbound,E,7348642,10,10
4810,Northbound,N,30011819,10,10
4810,Southbound,N,30011819,10,10
4810,Northbound,S,111671,10,10
4810,Southbound,S,111671,10,10
4810,Eastbound,W,111648,10,10
4810,Westbound,W,111648,10,10
4867,Northbound,N,1143833,10,10
4867,Southbound,N,1143833,10,10
4867,Northbound,S,30039399,10,10
4867,Southbound,S,30039399,10,10
4867,Eastbound,W,14014042,10,10
4867,Westbound,W,14014042,10,10
4875,Eastbound,E,2884176,10,10
4875,Westbound,E,2884176,10,10
4875,Northbound,N,2884227,10,10
4875,Southbound,N,2884227,10,10
4875,Northbound,S,8754471,10,10
4875,Southbound,S,8754471,10,10
4875,Eastbound,W,112092,10,10
4875,Westbound,W,112092,10,10
4962,Eastbound,E,8680749,10,10
4962,Westbound,E,8680749,10,10
4962,Northbound,N,736,10,10
4962,Southbound,N,736,10,10
4962,Northbound,S,851,10,10
4962,Southbound,S,851,10,10
4962,Eastbound,W,14253406,10,10
4962,Westbound,W,14253406,10,10
5201,Eastbound,E,8761,10,10
5201,Westbound,E,8761,10,10
5201,Northbound,N,8755,10,10
5201,Southbound,N,8755,10,10
5201,Northbound,S,20113015,10,10
5201,Southbound,S,20113015,10,10
5201,Eastbound,W,10367368,10,10
5201,Westbound,W,10367368,10,10
5202,Eastbound,E,7878,10,10
5202,Westbound,E,7878,10,10
5202,Northbound,N,7829,10,10
5202,Southbound,N,7829,10,10
5202,Northbound,S,8028,10,10
5202,Southbound,S,8028,10,10
5202,Eastbound,W,7206707,10,10
5202,Westbound,W,7206707,10,10
5364,Eastbound,E,7968,10,10
5364,Westbound,E,7968,10,10
5364,Northbound,N,2302332,10,10
5364,Southbound,N,2302332,10,10
5364,Northbound,S,10706173,10,10
5364,Southbound,S,10706173,10,10
5364,Eastbound,W,7932,10,10
5364,Westbound,W,7932,10,10
5373,Eastbound,E,20080626,10,10
5373,Westbound,E,20080601,10,10
5373,Northbound,N,20080593,10,10
5373,Southbound,N,20080593,10,10
5373,Northbound,S,20080622,10,10
5373,Southbound,S,20080622,10,10
5462,Eastbound,E,914146,10,10
5462,Westbound,E,914146,10,10
5462,Northbound,N,30073849,10,10
5462,Southbound,N,30073849,10,10
5462,Northbound,S,914190,10,10
5462,Southbound,S,914285,10,10
