"","arterycode","match_on_case","artery_type","location","direction","sideofint"
"5248",5566,6,2,"ESNA PARK DR AT PHARMACY AVE & STEELES AVE (PX 1190)","",""
"5820",6160,6,2,"HEDGEWOOD RD AT YORK MILLS RD","",""
"5840",6183,6,2,"CARLAW AVE AT VICTOR AVE","",""
"8079",14867,6,2,"HOWARD PARK AVE AT INDIAN GRV","",""
"5940",6301,6,2,"DAVENPORT RD AT LIGHTBOURN AVE","",""
"15904",27497,6,2,"HOLBORNE AVE AT WOODMOUNT AVE","",""
"16559",28252,6,2,"BROOKMOUNT RD AT COLUMBINE AVE","",""
"18312",30142,6,2,"CLUNY DR AT CRESCENT RD","",""
"6179",9795,6,2,"DOUGLAS AVE AT GREER RD","",""
"12042",23204,6,2,"GERRARD ST AT OSBORNE AVE & TED REEVE ARENA (PX 2241)","",""
"5918",6276,6,2,"ARGYLE ST AT DOVERCOURT RD","",""
"4739",5042,6,2,"CHURCH ST AT GERRARD ST (PX 22)","",""
"3662",3933,6,2,"LAKE SHORE BLVD AT REES ST (PX 1408)","",""
"4455",4755,6,2,"FINCH AVE AT TALBOT RD (PX 1206)","",""
"21522",33574,6,2,"BIRCHMOUNT RD AT FLORA DR (PX 2260)","",""
"16472",28148,6,2,"HUNT CLUB DR AT KINGSTON RD","",""
"4045",4326,6,2,"KIPLING AVE AT THE WESTWAY (PX 730)","",""
"4023",4304,6,2,"DANFORTH AVE AT PAPE AVE (PX 345)","",""
"21472",33524,6,2,"FORMAN AVE AT MANOR RD","",""
"3759",4034,6,2,"DUNDAS ST AT HUMBERSIDE AVE","",""
"4131",4418,6,2,"CLAREMORE AVE AT CLIFFSIDE DR & KINGSTON RD (PX 153)","",""
"22646",34776,6,2,"ELLESMERE RD AT PACKARD BLVD","",""
"5667",5998,6,2,"FINCH AVE AT GOLDFINCH CT & TORRESDALE AVE (PX 998)","",""
"3760",4035,6,2,"DENISON AVE AT DUNDAS ST (PX 542)","",""
"3895",4172,6,2,"SPADINA AVE AT WILLCOCKS ST (PX 1761)","",""
"4427",4726,6,2,"CLEMENT RD AT HUNTING RIDGE & KIPLING AVE (PX 1036)","",""
