"","arterycode","match_on_case","artery_type","location","direction","sideofint"
"12321",23538,2,1,"JANE STREET N/B S OF YORK GT MALL","Northbound","S"
"15400",26960,2,1,"NEILSON RD N/B S OF # 1315 NEILSON RD","Northbound","S"
"14570",26029,2,1,"MARION ST E/B E OF SUNNYSIDE AVE","Eastbound","E"
"15870",27454,2,1,"NIGHTSTAR RD E/B W OF POGONIA ST","Eastbound","W"
"8256",15176,2,1,"SCARLETT RD S/B S OF EDENBRIDGE DR","Southbound","S"
"10187",21137,2,1,"CENTRE AVE E/B W OF DUMONT ST","Eastbound","W"
"19490",31415,2,1,"HERRON AVE S/B N OF FLORENS AVE","Southbound","N"
"10366",21320,2,1,"FLAMBOROUGH DR E/B W OF KEELE ST","Eastbound","W"
"18106",29920,2,1,"CLIFFWOOD RD E/B E OF HAWLEAF CRES","Eastbound","E"
"7594",13863,2,1,"LESLIE ST N/B S OF CLOVERCREST RD","Northbound","S"
"23539",35730,2,1,"MOYNES AVE N/B S OF DANIELS ST","Northbound","S"
"699",743,2,1,"KINGSTON RD E/B W OF RIDGEMOOR AVE","Eastbound","W"
"8601",15620,2,1,"KENSINGTON AVE N/B N OF DUNDAS ST W","Northbound","N"
"398",427,2,1,"ELLESMERE RD E/B W OF KENNEDY RD","Eastbound","W"
"17951",29760,2,1,"CLARENCE SQ E/B E OF SPADINA AVE","Eastbound","E"
"14567",26026,2,1,"CLAUDE AVE N/B N OF THE QUEENSWAY","Northbound","N"
"11907",23032,2,1,"OLIVE AVE W/B E OF YONGE ST","Westbound","E"
"14531",25986,2,1,"F G GARDINER EXPY W/B E OF PARKSIDE DR","Westbound","E"
"2961",3125,2,1,"AVENUE RD N/B S OF WOBURN AVE","Northbound","S"
"19464",31387,2,1,"HUNTINGWOOD DR W/B E OF DUNMURRAY BLVD","Westbound","E"
"23067",35235,2,1,"IRWIN RD W/B E OF TURNPIN AVE","Westbound","E"
"18460",30299,2,1,"SOUTH KINGSWAY S/B S OF THE QUEENSWAY","Southbound","S"
"14262",25680,2,1,"EDENBRIDGE DR E/B W OF BEARWOOD DR","Eastbound","W"
"2899",3059,2,1,"W R ALLEN RD N/B S OF TRANSIT RD","Northbound","S"
"9875",20810,2,1,"MURRAY ROSS PKWY E/B E OF SENTINEL RD","Eastbound","E"
"19344",31257,2,1,"HOWLAND AVE S/B S OF DUPONT ST","Southbound","S"
"18752",30600,2,1,"SANDRA RD N/B N OF O CONNOR DR","Northbound","N"
"1834",1928,2,1,"YONGE ST N/B S OF ST EDMUNDS DR","Northbound","S"
"2576",2716,2,1,"KENNEDY RD S/B S OF EGLINTON AVE","Southbound","S"
"13884",25280,2,1,"MCNICOLL AVE W/B E OF BIRCHMOUNT RD","Westbound","E"
"2741",2888,2,1,"MCCOWAN RD N/B S OF BUSHBY DR","Northbound","S"
"12258",23456,2,1,"LOWER SHERBOURNE ST N/B S OF LAKE SHORE BLVD","Northbound","S"
"10050",20998,3,1,"FINCH AVE W/B E OF MIDBLOCK TCS ( PX 1780 E OF WINLOCK PK)","Westbound","E"
"22329",34431,3,1,"LOWCREST BLVD E/B W OF # 49 LOWCREST BLVD","Eastbound","W"
"22563",34678,3,1,"GUILDWOOD PKWY E/B W OF NAVARRE CRES","",""
"6551",11647,3,1,"BROCK AVE N/B N OF QUEEN ST","Northbound","N"
"8086",14892,3,1,"CARLAW AVE N/B S OF LAKE SHORE BLVD","Northbound","S"
"20600",32609,3,1,"OAKDALE RD S/B S OF FINCH AVE ( # 755)","Southbound","S"
"10449",21406,3,1,"YORKVIEW DR W/B E OF BEVDALE RD","Westbound","E"
"298",322,3,1,"DUFFERIN ST S/B S OF STEELES AVE","Southbound","S"
"22327",34429,3,1,"KENNEDY AVE S/B N OF # 50 KENNEDY AVE","Southbound","N"
"24034",36262,3,1,"BARTOR RD EB EAST OF CLAYSON RD","Eastbound","E"
"25082",37391,3,1,"LN S ST CLAIRES E ST CLARENS N/B S OF LN S ST CLAIR E GREENL","Northbound","S"
"18986",30861,3,1,"KIPLING AVE N/B S OF MID TCS PX 1884 ( N OF STEVESON RD)","Northbound","S"
"20589",32598,3,1,"DORIS AVE S/B N OF BYNG AVE","Southbound","N"
"9440",20334,3,1,"AVENUE RD S/B N OF MIDBLOCK TCS (PX 2076 S OF ROE AVE)","Southbound","N"
"21751",33818,3,1,"YORKVIEW DR W/B E OF FLEETWELL CRT","Westbound","E"
"19337",31250,3,1,"RUNNYMEDE RD S/B N OF # 398 (S OF GLENWOOD AVE)","Southbound","N"
"7766",14115,3,1,"HOOK AVE E/B E OF INDIAN GROVE","Eastbound","E"
"13033",24362,3,1,"SOHO ST N/B N OF QUEEN ST W","Northbound","N"
"21797",33864,3,1,"SNOWDON AVE W/B E OF # 110 SNOWDON AVE","Westbound","E"
"21826",33893,3,1,"EILEEN AVE W/B E OF # 129 EILEEN AVE","Westbound","E"
"10818",21808,3,1,"FINCH AVE W/B E OF ANCONA ST","Westbound","E"
"3342",3554,3,1,"SHEPPARD AVE E/B W OF BROOKWELL PARK TCS","Eastbound","W"
"6552",11648,3,1,"BROCK AVE S/B N OF QUEEN ST","Southbound","N"
"21686",33750,3,1,"MCADAM AVE W/B E OF # 65 MCADAM AVE","Westbound","E"
"22560",34675,3,1,"GUILDWOOD PRKWY W/B E OF THE GUILD","Westbound","E"
"19742",31699,3,1,"KENNEDY AVE S/B N OF DEFOREST RD","Southbound","N"
"20929",32956,3,1,"COLBORNE LODGE DR S/B S OF HILLSIDE RD","Southbound","S"
"25460",37808,3,1,"PROGRESS AVE W/B E OF MID-BLOCK TCS 130M W OF MIDLAND AVE","Westbound","E"
"1830",1924,3,1,"YONGE ST S/B N OF SHUTER ST","Southbound","N"
"21829",33896,3,1,"EILEEN AVE W/B E OF # 105 EILEEN AVE","Westbound","E"
"7549",13540,3,1,"LN OF YONGE ST S/B S OF PLEASANT BLVD","Southbound","S"
"19984",31964,3,1,"BLACKSMITH CRES E/B W OF GOSFORD BLVD S","Eastbound","W"
"19213",31120,3,1,"CUMMER AVE W/B E OF WILLOWDALE AVE","Westbound","E"
"24225",36465,3,1,"SERVICE RD EB E OF MARKHAM RD","Eastbound","E"
"20924",32950,3,1,"BELLEHAVEN CRES W/B E OF RAVINE DR","Westbound","E"
"2429",2563,3,1,"FINCH AVE E/B W OF KENNETH AVE","Eastbound","W"
"12890",24186,3,1,"NORTH QUEEN ST S/B N OF THE QUEENSWAY","Southbound","N"
"8299",15219,3,1,"JEFFERSON AVE S/B S OF KING ST W","Southbound","S"
