"group_number","group_number","same_volume"
6055,5999,t
6058,4536,t
6063,6070,t
6070,6063,t
6070,13030,t
6071,7753,t
6071,18113,t
6110,11031,t
6084,9742,t
6209,15725,t
6090,8979,t
6099,6147,t
6106,11886,t
6116,25536,t
6138,15,t
6147,6099,t
6158,6428,t
22025,13311,t
6175,6181,t
6181,6175,t
6197,4199,t
6201,6823,t
6212,11160,t
6212,29044,t
6214,23810,t
6216,27785,t
6223,10885,t
6223,11221,t
6224,8513,t
6243,30818,t
6239,30885,t
6249,13775,t
6249,16226,t
9032,11318,t
6272,25571,t
6272,30760,t
6276,22594,t
6276,28955,t
6326,17872,t
6287,6200,t
6309,30101,t
6330,9966,t
6332,9074,t
6340,6350,t
6340,28955,t
7282,2020,t
7282,2683,t
6373,13897,t
6376,13573,t
7407,7598,t
7407,17561,t
6424,18399,t
6424,23062,t
6428,6158,t
6461,14467,t
6437,4580,t
6465,15265,t
6459,1124,t
6459,23193,t
6467,12852,t
6475,16432,t
6485,6511,t
6485,29423,t
6511,3054,t
6511,6485,t
6558,2205,t
19487,3655,t
6594,30230,t
6598,10585,t
6613,7619,t
6630,5493,t
6636,14041,t
6641,13949,t
6697,6691,t
6697,27698,t
22053,25441,t
22053,27670,t
6664,8259,t
6691,6697,t
6694,6755,t
6699,1833,t
6700,4483,t
6708,4532,t
6708,7619,t
6716,2249,t
6720,9593,t
6743,17373,t
6755,6694,t
6755,18874,t
6768,17348,t
7271,529,t
6782,22009,t
6790,2518,t
6823,6201,t
6823,28329,t
6841,26645,t
6828,17750,t
6828,22818,t
6843,8809,t
6851,17351,t
6856,16950,t
6870,10595,t
6870,29763,t
6874,6907,t
6877,15496,t
7623,2747,t
7623,9474,t
22847,2276,t
22847,22970,t
22847,26320,t
6907,6874,t
6907,6944,t
6910,22978,t
6910,6904,t
6938,14434,t
6926,18351,t
23005,6050,t
6927,6967,t
6929,21902,t
19515,13706,t
6944,6907,t
6944,17182,t
6947,6909,t
6950,4595,t
6950,6970,t
6956,6946,t
6980,6919,t
6974,4176,t
7009,13737,t
7007,14636,t
7018,4618,t
7026,14050,t
7028,7175,t
7032,30460,t
7041,7049,t
7047,9326,t
7049,7041,t
7050,7011,t
7056,11728,t
7071,25798,t
7071,29749,t
7168,28289,t
7169,7882,t
7169,20037,t
7092,12430,t
7092,22911,t
7099,14251,t
7099,30534,t
7100,7014,t
7110,26981,t
11710,2800,t
7135,27553,t
7155,7563,t
7155,24463,t
7157,7132,t
7159,28022,t
7211,17552,t
7213,9056,t
7174,1548,t
7175,7028,t
7208,734,t
7197,8032,t
7197,11610,t
7273,4740,t
7273,7292,t
7232,27427,t
7234,1760,t
7234,1833,t
7356,17165,t
7241,7239,t
7242,17014,t
7277,11676,t
7283,412,t
7287,9326,t
7288,28965,t
7292,7273,t
7296,8142,t
7297,15036,t
7318,9286,t
7307,7314,t
7308,21796,t
7383,14541,t
7383,22122,t
7314,7307,t
7314,7885,t
7324,12447,t
7330,9233,t
7336,9884,t
7336,17829,t
7363,14506,t
7370,2747,t
7371,10097,t
7375,10525,t
7376,9349,t
7377,9566,t
7380,29463,t
7382,139,t
7387,4493,t
7390,976,t
7392,27951,t
7399,3940,t
7399,11525,t
7405,24361,t
7420,9287,t
7425,1676,t
7425,11023,t
7425,27656,t
7450,13227,t
7466,10355,t
7472,7923,t
7484,7658,t
7485,7582,t
7495,14966,t
7505,1308,t
7506,1454,t
7510,13812,t
7533,7487,t
7535,24505,t
7550,16370,t
7563,7155,t
7572,7579,t
7579,7572,t
7582,7485,t
7582,7658,t
7593,28733,t
7598,7407,t
7608,7618,t
7618,7608,t
7618,11176,t
7619,6613,t
7619,6708,t
7625,9474,t
7625,10102,t
7652,9407,t
7652,10243,t
7653,19037,t
7640,10449,t
7642,19650,t
7645,7647,t
7647,7645,t
7648,30054,t
7651,3138,t
7658,7484,t
7658,7582,t
7672,26433,t
7676,17555,t
7706,11803,t
7682,7687,t
7687,7682,t
7715,25293,t
7695,7699,t
7698,7734,t
7699,7695,t
7703,11803,t
7723,17962,t
7724,12377,t
7725,18070,t
7729,4490,t
7734,7698,t
7738,16591,t
7816,7786,t
7816,7849,t
7749,18832,t
7750,19572,t
7753,6071,t
7766,16406,t
7772,14614,t
7778,11499,t
7778,21388,t
7780,7804,t
7786,7816,t
7791,10117,t
7801,18886,t
7804,7780,t
7805,7812,t
7806,2024,t
7807,7808,t
7809,7813,t
7812,7805,t
7813,7809,t
7813,27941,t
7818,14395,t
7826,8258,t
7826,25212,t
7837,10678,t
7837,12295,t
7869,24709,t
7849,7816,t
7854,9897,t
7866,9853,t
7882,7169,t
7885,7314,t
7885,30549,t
7886,1647,t
7892,23714,t
7893,7910,t
7897,16801,t
7898,4159,t
7898,7958,t
7900,28016,t
7910,7893,t
7913,29676,t
7923,7472,t
7942,14806,t
7942,14816,t
7955,3297,t
7957,7965,t
7958,7898,t
7962,1779,t
7965,7957,t
7989,11640,t
7989,21982,t
8076,8075,t
8005,3900,t
8007,8008,t
8008,8007,t
8017,9517,t
8029,8421,t
8032,7197,t
8054,15004,t
8054,10724,t
8055,8090,t
8075,8076,t
8090,8055,t
8090,26166,t
8108,3493,t
8115,8878,t
8121,9419,t
8121,22264,t
8124,21552,t
8142,7296,t
8142,20326,t
8145,15032,t
8152,9465,t
8159,9598,t
8160,9551,t
8161,21886,t
8162,9543,t
8163,5606,t
8163,12853,t
8168,5594,t
8169,9574,t
8171,15076,t
8179,22599,t
8179,25296,t
8182,9645,t
8192,12317,t
8193,16312,t
8200,15379,t
8213,30406,t
8217,14222,t
8217,16333,t
8250,15111,t
8251,26679,t
8258,7826,t
8258,23610,t
8259,6664,t
8262,17258,t
8330,8321,t
8275,9734,t
8278,3044,t
8286,3210,t
8290,15318,t
8293,19116,t
8303,26572,t
8310,10383,t
8310,25301,t
8312,9466,t
8317,9500,t
8321,8330,t
8324,1392,t
8342,3363,t
8358,9520,t
8358,25175,t
8382,25342,t
8397,9562,t
8400,8969,t
8419,2732,t
8421,8029,t
8421,26759,t
8423,21132,t
8457,8532,t
8463,8474,t
8463,14397,t
8474,8463,t
8475,14013,t
8482,8493,t
8491,9392,t
8493,8482,t
8524,8521,t
8545,11400,t
8521,8524,t
8525,10137,t
8532,8457,t
8540,10757,t
8558,10501,t
8559,8568,t
8560,22516,t
8561,13994,t
8568,8559,t
8577,12012,t
8586,15563,t
8586,20483,t
8595,11968,t
8607,25029,t
8610,1785,t
8611,8622,t
8615,9009,t
8615,9526,t
8618,12584,t
8622,8611,t
8628,8636,t
8635,13946,t
8636,8628,t
8658,15447,t
8659,12741,t
8667,15406,t
8680,24061,t
8680,29181,t
8694,10757,t
8696,4118,t
8698,5279,t
8701,13914,t
8702,8703,t
8703,8702,t
8708,27580,t
8711,26432,t
8712,19144,t
8749,10634,t
8719,10094,t
8721,14537,t
8723,8735,t
8723,8933,t
8735,8723,t
8737,1891,t
8758,2869,t
8760,20322,t
8763,8781,t
8771,8773,t
8773,8771,t
8773,15212,t
20249,15801,t
8777,27846,t
8781,8763,t
8781,10385,t
8786,4765,t
8926,10036,t
8926,11418,t
8809,6843,t
8810,3488,t
8813,2824,t
8813,20295,t
8817,26227,t
8820,8918,t
8823,12262,t
8847,8845,t
8847,16332,t
8829,16339,t
8829,30726,t
8833,24277,t
8834,16343,t
8835,4231,t
8835,10872,t
8837,8841,t
8841,8837,t
8841,16341,t
8845,8847,t
8853,8857,t
8857,8853,t
8857,16331,t
8863,8870,t
8870,8863,t
8870,16328,t
8878,8115,t
8881,16326,t
8886,8888,t
8888,8886,t
8888,16325,t
8892,8895,t
8894,19053,t
8895,8892,t
8895,24888,t
8902,976,t
9105,9071,t
8908,12467,t
8918,8820,t
8922,16153,t
8931,10057,t
8933,8723,t
8935,2618,t
8935,31031,t
8939,16504,t
8939,25764,t
8941,10224,t
8943,12207,t
8944,14209,t
9055,9028,t
8947,22297,t
8947,16040,t
8948,13015,t
8951,22456,t
8953,22054,t
8956,14088,t
8964,9089,t
8965,12853,t
8969,8400,t
8969,11212,t
8975,21103,t
8979,6090,t
9012,15711,t
9056,7213,t
9056,9003,t
8989,11098,t
8993,2655,t
8993,14865,t
8994,9004,t
9003,9056,t
9004,8994,t
9009,8615,t
9009,9666,t
9027,10169,t
9028,9055,t
9029,9039,t
9036,9145,t
9048,9067,t
9053,9039,t
9061,9768,t
9070,22528,t
9071,9105,t
9074,6332,t
9075,9131,t
9077,439,t
9079,29412,t
9086,9154,t
9088,11406,t
9088,15153,t
9089,8964,t
9090,9768,t
9092,17149,t
9098,16351,t
9100,14860,t
9101,1604,t
9112,9135,t
9121,3169,t
9128,30509,t
9131,9075,t
9135,9112,t
9137,9265,t
9137,24797,t
9139,1645,t
9145,9036,t
10464,4071,t
10464,10506,t
9154,9086,t
9154,9210,t
9157,18416,t
9158,9224,t
9159,2459,t
9160,9228,t
9163,28120,t
9164,25959,t
9166,28538,t
9172,9223,t
9175,9242,t
9181,4712,t
9187,9233,t
9194,24469,t
9203,9677,t
9203,15744,t
9210,9154,t
9219,1756,t
9223,9172,t
9224,9158,t
9228,9160,t
9233,7330,t
9233,9187,t
9259,9291,t
9260,9240,t
9260,9288,t
9238,9287,t
9239,16983,t
9240,9260,t
9570,15496,t
9241,4206,t
9241,18282,t
9242,9175,t
9247,1401,t
9247,14237,t
9254,20099,t
9265,9137,t
9266,9268,t
9268,9266,t
9278,30269,t
9286,7318,t
9287,7420,t
9287,9238,t
9288,9260,t
9291,9259,t
23683,5427,t
9303,9488,t
9305,13730,t
9316,26809,t
9322,9480,t
9326,7047,t
9326,7287,t
9328,9401,t
9332,11087,t
9355,9390,t
9340,28508,t
9341,9786,t
9347,19712,t
9349,7376,t
11060,20450,t
9369,18723,t
9370,9437,t
9414,677,t
9371,30052,t
9371,18078,t
9375,19969,t
9378,9451,t
9385,26741,t
9386,21899,t
9429,19007,t
9390,9355,t
9392,8491,t
9398,23482,t
9399,9492,t
9400,29903,t
9401,9328,t
9401,9467,t
9403,140,t
9407,7652,t
9407,9966,t
9412,1698,t
9419,8121,t
9422,9427,t
9538,9442,t
11176,7618,t
9452,25245,t
9427,9422,t
9435,9552,t
9437,9370,t
9437,9528,t
9440,11990,t
9442,9538,t
9447,19038,t
9450,2689,t
9451,9378,t
9451,9537,t
9455,9510,t
9465,8152,t
9465,10960,t
9466,8312,t
9467,9401,t
9471,10329,t
9496,9533,t
9473,24708,t
9474,7623,t
9474,7625,t
9476,18725,t
9479,9516,t
9480,9322,t
9482,4360,t
9485,140,t
9485,21696,t
9488,9303,t
9490,26384,t
9492,9399,t
9493,11857,t
9500,8317,t
9505,9520,t
9510,9455,t
9511,17946,t
9512,31014,t
9516,9479,t
9517,8017,t
9520,8358,t
9520,9505,t
9522,27189,t
9523,9636,t
9526,8615,t
9526,21696,t
9528,9437,t
9529,9565,t
9532,28563,t
9533,9496,t
9535,9543,t
9537,9451,t
9543,8162,t
9543,9535,t
9545,17919,t
9551,8160,t
9552,9593,t
9552,9435,t
9554,9613,t
9556,25202,t
9562,8397,t
9565,9529,t
9566,7377,t
9574,8169,t
9577,21898,t
9635,22240,t
9584,16897,t
9590,23753,t
9594,9609,t
9594,21959,t
9598,8159,t
9607,23351,t
9608,9675,t
9609,9594,t
9609,22316,t
9610,22492,t
9613,9554,t
9645,8182,t
9746,24207,t
9746,9637,t
9631,1986,t
9636,1932,t
9636,9523,t
9643,9686,t
9647,23073,t
9647,24448,t
9657,5606,t
9661,9699,t
9666,9009,t
9667,19397,t
9707,4184,t
9707,26430,t
9672,9714,t
9675,9608,t
9677,9203,t
9816,26979,t
9686,9643,t
9692,25174,t
9692,28664,t
9694,18433,t
9696,29613,t
9699,9661,t
9702,9819,t
9709,18283,t
9709,28031,t
