arterycode,centreline_id,direction,sideofint,match_on_case,artery_type
285,9233962,Northbound,S,1,1
286,14018477,Southbound,N,1,1
287,30074541,Northbound,S,2,1
288,1142503,Southbound,N,1,1
289,20091988,Northbound,S,2,1
290,12601268,Southbound,N,1,1
291,5336745,Northbound,S,1,1
292,20142356,Southbound,N,1,1
293,446360,Northbound,S,1,1
294,9667449,Southbound,N,1,1
295,10313040,Northbound,S,1,1
296,9781127,Southbound,N,1,1
297,9779798,Northbound,S,1,1
298,9780284,Southbound,N,1,1
299,445710,Northbound,S,1,1
300,8354303,Southbound,N,1,1
301,9781127,Northbound,S,1,1
302,10280130,Northbound,S,1,1
303,10280032,Southbound,N,1,1
305,10851689,Northbound,S,1,1
306,6058215,Southbound,N,1,1
307,5336642,Northbound,S,1,1
308,9655343,Southbound,N,1,1
309,10851754,Northbound,S,1,1
310,8612,Northbound,S,1,1
311,8540,Southbound,N,1,1
312,8065,Northbound,S,1,1
313,9781235,Southbound,N,1,1
314,14011416,Northbound,S,1,1
315,14671607,Southbound,N,2,1
316,14003491,Northbound,S,1,1
317,14063592,Southbound,N,1,1
318,446490,Northbound,S,1,1
319,,Northbound,N,11,1
320,14673478,Northbound,S,3,1
321,,Southbound,N,11,1
322,14673478,Southbound,S,3,1
323,5336708,Southbound,N,1,1
324,10280032,Northbound,S,1,1
325,11714767,Southbound,N,1,1
326,9667772,Northbound,S,1,1
327,9655858,Northbound,S,1,1
328,443634,Northbound,S,1,1
329,443496,Southbound,N,1,1
330,9667140,Southbound,N,1,1
331,444453,Northbound,S,3,1
332,12189729,Southbound,N,1,1
333,3147580,Eastbound,W,1,1
334,10636395,Westbound,E,1,1
335,14025031,Eastbound,W,1,1
336,1143194,Westbound,E,1,1
337,14047336,Westbound,E,1,1
338,3115737,Westbound,E,1,1
339,7576983,Eastbound,W,1,1
340,7576995,Westbound,E,1,1
341,913023,Westbound,E,1,1
342,10759621,Eastbound,W,1,1
343,1142163,Eastbound,W,1,1
344,2426400,Westbound,E,1,1
345,14014172,Northbound,E,1,1
346,8100106,Eastbound,W,1,1
347,9722589,Westbound,E,1,1
348,1142396,Eastbound,W,1,1
349,14022920,Westbound,E,1,1
350,30005548,Eastbound,W,2,1
351,9390,Westbound,E,1,1
352,911129,Eastbound,W,1,1
353,30031177,Westbound,E,2,1
354,6151149,Eastbound,W,1,1
355,10575986,Westbound,E,1,1
356,14024051,Eastbound,W,1,1
357,12388745,Westbound,E,1,1
358,1143079,Eastbound,W,1,1
359,9109303,Westbound,E,1,1
363,10759537,Westbound,E,1,1
364,14024433,Eastbound,W,1,1
365,14022871,Westbound,E,1,1
366,14022917,Eastbound,W,1,1
367,7576983,Westbound,E,1,1
368,913150,Westbound,E,1,1
369,9085868,Eastbound,W,1,1
370,1143085,Westbound,E,1,1
371,14024409,Eastbound,W,1,1
