arterycode,count_type,loc,type,road,road_rank,tot_days
25983,PermAutom,LAKE SHORE BLVD E/B E OF CHERRY ST S,RESCU,Lakeshore,4,1366
25984,PermAutom,F G GARDINER EXPY E/B E OF DUFFERIN ST,RESCU,Gardiner,1,2291
25985,PermAutom,LAKE SHORE BLVD E/B W OF OARSMAN DR,RESCU,Lakeshore,4,2386
25986,PermAutom,F G GARDINER EXPY W/B E OF PARKSIDE DR,RESCU,Gardiner,1,1863
25987,PermAutom,F G GARDINER EXPY E/B E OF PARKSIDE DR,RESCU,Gardiner,1,2387
26342,PermAutom,W R ALLEN RD S/B S OF HIGHWAY 401,RESCU,Allen,3,236
26940,PermAutom,W R ALLEN RD N/B S OF RANEE AVE,RESCU,Allen,3,518
26947,PermAutom,W R ALLEN RD S/B S OF RANEE AVE,RESCU,Allen,3,436
27697,PermAutom,ALBION RD E/B E OF KIPLING AVE,Other,,6,160
27702,PermAutom,ALBION RD W/B W OF KIPLING AVE,Other,,6,166
27730,PermAutom,SHEPPARD AVE E/B W OF TTC SUBWAY STN,Other,,6,76
28291,PermAutom,W R ALLEN RD N/B N OF SHEPPARD AVE,Other,,6,1239
28292,PermAutom,SHEPPARD AVE W/B W OF TTC SUBWAY STN,Other,,6,53
28293,PermAutom,KEELE ST N/B N OF CANARCTIC DR,Other,,6,861
30853,PermAutom,KIPLING AVE N/B S OF PENLEA AVE,Other,,6,104
31313,PermAutom,DON VALLEY PKWY S/B S OF THREE VALLEYS DR,RESCU,DVP,2,486
31314,PermAutom,DON VALLEY PKWY N/B S OF THREE VALLEYS DR,RESCU,DVP,2,481
31315,PermAutom,DON VALLEY PKWY S/B N OF WYNFORD DR,RESCU,DVP,2,1436
31316,PermAutom,DON VALLEY PKWY N/B N OF WYNFORD DR,RESCU,DVP,2,1433
31317,PermAutom,DON VALLEY PKWY S/B S OF ST DENNIS DR,RESCU,DVP,2,1344
31318,PermAutom,DON VALLEY PKWY N/B S OF ST DENNIS DR,RESCU,DVP,2,1337
31319,PermAutom,W R ALLEN RD S/B S OF YORKDALE RD OFF RAMP,RESCU,Allen,3,272
31320,PermAutom,W R ALLEN RD S/B N OF HIGHWAY 401 ON RAMP,RESCU,Allen,3,478
31322,PermAutom,HIGHWAY 401 W/B RAMP TO W R ALLEN RD S/B,RESCU,Allen,3,534
31323,PermAutom,HIGHWAY 401 W/B & E/B RAMP TO W R ALLEN RD S/B,RESCU,Allen,3,549
31324,PermAutom,W R ALLEN RD S/B S OF YORKDALE RD,RESCU,Allen,3,428
31326,PermAutom,W R ALLEN RD S/B N OF FLEMINGTON RD,RESCU,Allen,3,425
31327,PermAutom,W R ALLEN RD S/B N OF LAWRENCE AVE,RESCU,Allen,3,506
31328,PermAutom,W R ALLEN RD S/B S OF DELL PARK AVE,RESCU,Allen,3,525
31329,PermAutom,W R ALLEN RD S/B N OF GLENGROVE AVE,RESCU,Allen,3,523
31330,PermAutom,W R ALLEN RD S/B N OF VIEWMOUNT AVE,RESCU,Allen,3,524
31331,PermAutom,W R ALLEN RD S/B N OF RIDELLE AVE,RESCU,Allen,3,543
31332,PermAutom,W R ALLEN RD N/B S OF RIDELLE AVE,RESCU,Allen,3,554
31333,PermAutom,W R ALLEN RD S/B N OF ELM RIDGE DR,RESCU,Allen,3,563
31721,PermAutom,BATHURST ST N/B N OF WILSON AVE,Other,,6,755
31722,PermAutom,BATHURST ST S/B S OF WILSON AVE,Other,,6,1075
31745,PermAutom,WILSON AVE E/B E OF BATHURST ST,Other,,6,682
31748,PermAutom,WILSON AVE W/B W OF BATHURST ST,Other,,6,1075
31751,PermAutom,KENNEDY RD N/B N OF LAWRENCE AVE,Other,,6,933
31752,PermAutom,KENNEDY RD S/B S OF LAWRENCE AVE,Other,,6,931
31753,PermAutom,LAWRENCE AVE E/B E OF KENNEDY RD,Other,,6,926
31754,PermAutom,TRETHEWEY DR N/B N OF EGLINTON AVE,Other,,6,784
31755,PermAutom,EGLINTON AVE E/B E OF KEELE ST,Other,,6,460
31756,PermAutom,KEELE ST S/B S OF EGLINTON AVE,Other,,6,639
31757,PermAutom,EGLINTON AVE W/B W OF KEELE ST,Other,,6,786
31762,PermAutom,WILSON AVE E/B E OF JANE ST,Other,,6,273
31764,PermAutom,SHEPPARD AVE E/B E OF JANE ST,Other,,6,223
31785,PermAutom,KEELE ST S/B S OF SHEPPARD AVE,Other,,6,439
31794,PermAutom,MILLWOOD RD N/B N OF OVERLEA BLVD,Other,,6,530
31796,PermAutom,MARKHAM RD S/B S OF SHEPPARD AVE,Other,,6,1092
31797,PermAutom,KIPLING AVE S/B S OF ALBION RD,Other,,6,156
31798,PermAutom,LESLIE ST N/B N OF SHEPPARD AVE,Other,,6,184
31799,PermAutom,SHEPPARD AVE E/B E OF LESLIE ST,Other,,6,344
31800,PermAutom,SHEPPARD AVE W/B W OF LESLIE ST,Other,,6,351
31803,PermAutom,LESLIE ST S/B S OF YORK MILLS RD,Other,,6,1153
31805,PermAutom,HIGHWAY 27 N/B N OF REXDALE BLVD,Other,,6,353
